meter_id,contract_id,meter_type,voltage,status,location,latitude,longitude
1,1,single-phase,,active,Khánh Hòa,12.2585,109.0526
6,2,single-phase,,active,Trà Vinh,9.9513,106.3346
11,3,single-phase,,active,Hải Dương,20.9373,106.3146
16,4,single-phase,,active,Tiền Giang,10.4493,106.3421
21,5,single-phase,,active,Đà Nẵng,16.0544,108.2022
26,6,single-phase,,active,Hà Nội,21.0278,105.8342
31,7,single-phase,,active,Đồng Tháp,10.4938,105.6882
36,8,single-phase,,active,Bình Định,13.886,109.1077
41,9,single-phase,,active,Thái Bình,20.4463,106.3366
46,10,single-phase,,active,Hà Giang,22.8026,104.9784
51,11,single-phase,,active,Cà Mau,9.1527,105.1961
56,12,single-phase,,active,Cao Bằng,22.6666,106.264
61,13,single-phase,,active,Bà rịa Vũng Tàu,10.5417,107.243
66,14,single-phase,,active,Long An,10.6956,106.2431
71,15,single-phase,,active,Thanh Hóa,19.8067,105.7852
76,16,single-phase,,active,Lạng Sơn,21.8537,106.7615
81,17,single-phase,,active,Hậu Giang,9.7579,105.6413
86,18,single-phase,,active,Ninh Thuận,11.6739,108.863
91,19,single-phase,,active,Bình Phước,11.7512,106.7235
96,20,single-phase,,active,Ninh Bình,20.2506,105.9745
101,21,single-phase,,active,Long An,10.6956,106.2431
106,22,single-phase,,active,Kon Tum,14.3497,108.0005
111,23,single-phase,,active,Gia Lai,13.8079,108.1094
116,24,single-phase,,active,Hòa Bình,20.8275,105.3391
121,25,single-phase,,active,Hà Tĩnh,18.342,105.8923
126,26,single-phase,,active,Bến Tre,10.2434,106.3756
131,27,single-phase,,active,Yên Bái,21.7168,104.8986
136,28,single-phase,,active,Vĩnh Long,10.2396,105.9572
141,29,single-phase,,active,Đắk Nông,12.2646,107.6098
146,30,single-phase,,active,Quảng Trị,16.7943,106.9634
151,31,single-phase,,active,Quảng Nam,15.5394,108.0191
156,32,single-phase,,active,Vĩnh Long,10.2396,105.9572
161,33,single-phase,,active,Hải Dương,20.9373,106.3146
166,34,single-phase,,active,Thừa Thiên Huế,16.4674,107.5905
171,35,single-phase,,active,Cần Thơ,10.0452,105.7469
176,36,single-phase,,active,Đồng Nai,11.0686,107.1676
181,37,single-phase,,active,Hòa Bình,20.8275,105.3391
186,38,single-phase,,active,Hòa Bình,20.8275,105.3391
191,39,single-phase,,active,Bắc Ninh,21.1782,106.071
196,40,single-phase,,active,Tây Ninh,11.3352,106.1099
201,41,single-phase,,active,Điện Biên,21.4064,103.0322
206,42,single-phase,,active,Phú Thọ,21.422,105.2297
211,43,single-phase,,active,Thái Nguyên,21.5672,105.8252
216,44,single-phase,,active,Lai Châu,22.3862,103.4703
221,45,single-phase,,active,Sóc Trăng,9.6025,105.9739
226,46,single-phase,,active,Đà Nẵng,16.0544,108.2022
231,47,single-phase,,active,Tây Ninh,11.3352,106.1099
236,48,single-phase,,active,Kiên Giang,9.825,105.1259
241,49,single-phase,,active,Lào Cai,22.4809,103.9755
246,50,single-phase,,active,Hà Nam,20.5835,105.923
251,51,single-phase,,active,Đắk Nông,12.2646,107.6098
256,52,single-phase,,active,Lạng Sơn,21.8537,106.7615
261,53,single-phase,,active,Tuyên Quang,21.7767,105.228
266,54,single-phase,,active,Phú Thọ,21.422,105.2297
271,55,single-phase,,active,Bắc Giang,21.282,106.1975
276,56,single-phase,,active,Hải Phòng,20.8449,106.6881
281,57,single-phase,,active,Ninh Thuận,11.6739,108.863
286,58,single-phase,,active,Nghệ An,19.2342,104.92
291,59,single-phase,,active,Bến Tre,10.2434,106.3756
296,60,single-phase,,active,Bình Định,13.886,109.1077
301,61,single-phase,,active,Hà Nam,20.5835,105.923
306,62,single-phase,,active,Kiên Giang,9.825,105.1259
311,63,single-phase,,active,Trà Vinh,9.9513,106.3346
316,64,single-phase,,active,Phú Yên,13.0882,109.0929
321,65,single-phase,,active,Bạc Liêu,9.294,105.7216
326,66,single-phase,,active,Thái Nguyên,21.5672,105.8252
331,67,single-phase,,active,Yên Bái,21.7168,104.8986
336,68,single-phase,,active,Quảng Trị,16.7943,106.9634
341,69,single-phase,,active,TP. Hồ Chí Minh,10.8231,106.6297
346,70,single-phase,,active,Long An,10.6956,106.2431
351,71,single-phase,,active,Hà Tĩnh,18.342,105.8923
356,72,single-phase,,active,Khánh Hòa,12.2585,109.0526
361,73,single-phase,,active,Long An,10.6956,106.2431
366,74,single-phase,,active,Khánh Hòa,12.2585,109.0526
371,75,single-phase,,active,Điện Biên,21.4064,103.0322
376,76,single-phase,,active,Hà Nam,20.5835,105.923
381,77,single-phase,,active,Ninh Thuận,11.6739,108.863
386,78,single-phase,,active,Nghệ An,19.2342,104.92
391,79,single-phase,,active,Đà Nẵng,16.0544,108.2022
396,80,single-phase,,active,Hưng Yên,20.6547,106.0578
401,81,single-phase,,active,Đắk Nông,12.2646,107.6098
406,82,single-phase,,active,Thanh Hóa,19.8067,105.7852
411,83,single-phase,,active,Bắc Giang,21.282,106.1975
416,84,single-phase,,active,Bắc Kạn,22.1443,105.8345
421,85,single-phase,,active,Bình Dương,11.3254,106.477
426,86,single-phase,,active,Cần Thơ,10.0452,105.7469
431,87,single-phase,,active,Tuyên Quang,21.7767,105.228
436,88,single-phase,,active,Thanh Hóa,19.8067,105.7852
441,89,single-phase,,active,Kon Tum,14.3497,108.0005
446,90,single-phase,,active,Thái Nguyên,21.5672,105.8252
451,91,single-phase,,active,Hà Tĩnh,18.342,105.8923
456,92,single-phase,,active,Lạng Sơn,21.8537,106.7615
461,93,single-phase,,active,Bạc Liêu,9.294,105.7216
466,94,single-phase,,active,Tuyên Quang,21.7767,105.228
471,95,single-phase,,active,Khánh Hòa,12.2585,109.0526
476,96,single-phase,,active,Bình Dương,11.3254,106.477
481,97,single-phase,,active,Hậu Giang,9.7579,105.6413
486,98,single-phase,,active,Bình Phước,11.7512,106.7235
491,99,single-phase,,active,Bắc Giang,21.282,106.1975
496,100,single-phase,,active,Kiên Giang,9.825,105.1259
501,101,single-phase,,active,Bình Dương,11.3254,106.477
506,102,single-phase,,active,Yên Bái,21.7168,104.8986
511,103,single-phase,,active,Thái Nguyên,21.5672,105.8252
516,104,single-phase,,active,Bình Định,13.886,109.1077
521,105,single-phase,,active,Hà Giang,22.8026,104.9784
526,106,single-phase,,active,Đắk Nông,12.2646,107.6098
531,107,single-phase,,active,Ninh Bình,20.2506,105.9745
536,108,single-phase,,active,Hà Tĩnh,18.342,105.8923
